301 1.8967345883 1981 1 3 6.3 -99999 6.3 9.5 6.7 -99999 6 5.6 2 3 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 3 2 2 2 2 3 2 2.2857142857 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 1 2 1 0 0 1 1 0.8571428571 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 7
302 1.8314093444 1983 1 3 -99999 3.4 9 -99999 -99999 5.1 1.8 0.9 2 2 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 3 2 1 3 3 3 2 2.4285714286 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 1 0 0 3 0 0 2 0.8571428571 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 2 1 2 2 2 1 1.6666666667 -99999
401 0.9498084291 1980 0 3 -99999 7.5 4.2 -99999 -99999 6.2 4.1 -99999 -99999 -99999 1 1 0 2 1 1 2 2 1 1.2222222222 2 3 2 3 3 3 3 2.7142857143 2 3 2 2 2 3 2 2.2857142857 0 2 2 3 3 2 1 1.8571428571 2 2 0 0 2 2 1 1.2857142857 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999
802 2.396109719 1979 0 3 7.7 7 8.2 4.5 9.5 3.5 7.9 5.4 2 2 0 3 1 0 2 1 1 0 2 1.1111111111 2 3 2 2 2 2 1 2 3 3 3 3 3 3 3 3 2 1 2 3 0 0 0 1.1428571429 0 1 0 2 2 0 0 0.7142857143 1 2 2 2 2 2 1.8333333333 8
803 2.3937500161 1982 1 3 7 6.1 5.3 5.5 6.9 7.3 5.6 6.9 3 0 0 0 1 3 0 3 1 2 0 1.1111111111 2 2 2 2 2 0 2 1.7142857143 3 2 2 2 2 2 2 2.1428571429 0 2 1 1 1 1 0 0.8571428571 0 0 0 0 0 1 0 0.1428571429 1 1 1 2 1 1 1.1666666667 4
4301 1.5185380258 1982 1 3 2.7 1.6 2.5 4.5 2.6 5.7 2.1 4.1 2 3 1 1 1 2 2 2 0 1 1 1.2222222222 2 2 3 3 2 3 2 2.4285714286 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 1 0 0 3 1 0 1 0.8571428571 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 0
4401 1.6921116292 1981 1 3 9.6 9.6 9.5 -99999 5.6 3.8 7.9 -99999 -99999 -99999 0 1 3 3 1 2 1 1 1 1.4444444444 3 3 2 2 2 2 2 2.2857142857 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 0 1 0 0 3 0 0 0.5714285714 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999
4901 1.9708545411 1982 0 3 9.4 6.1 9.5 9.5 8.2 8.5 6.7 8.3 3 3 0 0 1 2 0 2 1 0 0 0.6666666667 2 2 2 2 2 3 2 2.1428571429 2 1 2 2 1 2 2 1.7142857143 0 1 0 3 2 0 0 0.8571428571 0 3 0 1 0 0 1 0.7142857143 2 1 1 2 3 2 1.8333333333 4
5701 1.7841671297 1979 0 3 5.8 7 4.7 8.7 9.8 9.9 8.9 9.9 3 -99999 1 1 1 3 0 2 1 1 1 1.2222222222 1 1 2 1 2 2 2 1.5714285714 1 1 1 1 1 2 2 1.2857142857 0 1 0 0 0 0 0 0.1428571429 0 0 1 0 0 1 0 0.2857142857 2 1 1 2 2 2 1.6666666667 6
5801 1.9908277404 1981 1 3 9.7 7.5 9.7 9.4 6.7 5.1 9.5 8.3 3 3 1 0 2 3 0 1 0 0 0 0.7777777778 3 1 3 3 2 3 3 2.5714285714 3 2 3 2 1 3 3 2.4285714286 0 0 0 0 0 1 0 0.1428571429 0 1 0 0 3 0 0 0.5714285714 1 1 1 2 2 1 1.3333333333 -99999
